Дата;Время;Сообщение листа;Сообщение строки
"23.10.2019";"9:03:42";"Лист 'не используется' отсутствует!";""
"23.10.2019";"9:04:04";"Лист 'UMPNA_DOP' отсутствует!";""
"23.10.2019";"9:04:06";"Лист 'SARDfDiag' отсутствует!";""
"23.10.2019";"9:04:07";"Лист 'SARDh' отсутствует!";""
"23.10.2019";"9:04:08";"Лист 'Hydro' отсутствует!";""
"23.10.2019";"9:04:08";"Лист 'UMPNA2' отсутствует!";""
"23.10.2019";"9:04:11";"Лист 'UMPNA3' отсутствует!";""
"23.10.2019";"9:04:13";"Лист 'SARDh2' отсутствует!";""
"23.10.2019";"9:04:13";"Лист 'SDKU_DateTime' отсутствует!";""
