ID;ParamName;ParamID;Unit;ScaleBeginning;Ust0;Ust1;Ust2;Ust3;Ust4;Ust5;Ust6;Ust7;Ust8;Ust9;Ust10;Ust11;ScaleEnd;Hist;VeracityBottom;VeracityTop;AdressBeginning;Place;CtrlUst;OpMask;SignMask;KF;NDiap;AdressBeginningKF;PLC;OPCPath;PlaceName;TypeName
61;"ПНА №036.3 ДАВЛЕНИЕ НЕФТИ НА ВЫХОДЕ";"PT572";"МПа";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"3,7";"20,3";15220;9;"1";"1";"1";"0";"1";11304;0;"PNA036_3.PT572";"ПНА №036.3";"Базовый тип с наименованием по умолчанию"
62;"ПНА №036.3 ПЕРЕПАД ДАВЛЕНИЯ НЕФТИ НА ФИЛЬТР-РЕШЕТКЕ";"PT573";"МПа";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,4";"0";"3,7";"20,3";15252;9;"1";"1";"1";"0";"1";11308;0;"PNA036_3.PT573";"ПНА №036.3";"Перепад давления"
63;"ПНА №036.3 СИЛА ТОКА";"CT571";"А";"0";"0";"0";"0";"0";"21,7";"0";"0";"0";"0";"0";"0";"0";"300";"0";"3,7";"20,3";15284;9;"1";"1";"1";"0";"1";11312;0;"PNA036_3.CT571";"ПНА №036.3";"Сила тока МНА"
64;"ПНА №036.3 ВЫХОДНАЯ ЧАСТОТА";"ST571_2";"об/мин";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3000";"0";"-30";"3000";15316;9;"1";"1";"1";"0";"1";11316;0;"PNA036_3.ST571_2";"ПНА №036.3";"Частота вращения вала ЭД НА"
65;"ТЕМПЕРАТУРА ВОЗДУХА В ШКАФУ ССН.УСО.2(3)";"CST01_23";"°C";"-20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"80";"0";"3,7";"20,3";15348;10;"1";"1";"1";"0";"1";11320;0;"DG.USO2_3.CST01_23";"ССН.УСО.2(3)";"Базовый тип с наименованием по умолчанию"
66;"ПНА №036.2 ТЕМПЕРАТУРА НИЖНЕГО ПОДШИПНИКА ЭД";"TT563";"°C";"-50";"0";"0";"0";"0";"0";"0";"0";"0";"65";"75";"0";"0";"150";"0";"3,7";"20,3";15380;11;"1";"1";"1";"0";"1";11324;0;"PNA036_2.TT563";"ПНА №036.2";"Базовый тип с наименованием по умолчанию"
67;"ПНА №036.2 ТЕМПЕРАТУРА ВЕРХНЕГО ПОДШИПНИКА ЭД (ТОЧКА 1)";"TT564_1";"°C";"-50";"0";"0";"0";"0";"0";"0";"0";"0";"65";"75";"0";"0";"150";"0";"3,7";"20,3";15412;11;"1";"1";"1";"0";"1";11328;0;"PNA036_2.TT564_1";"ПНА №036.2";"Базовый тип с наименованием по умолчанию"
68;"ПНА №036.2 ТЕМПЕРАТУРА ВЕРХНЕГО ПОДШИПНИКА ЭД (ТОЧКА 2)";"TT564_2";"°C";"-50";"0";"0";"0";"0";"0";"0";"0";"0";"65";"75";"0";"0";"150";"0";"3,7";"20,3";15444;11;"1";"1";"1";"0";"1";11332;0;"PNA036_2.TT564_2";"ПНА №036.2";"Базовый тип с наименованием по умолчанию"
69;"ПНА №036.2 ТЕМПЕРАТУРА НЕФТИ НА ВЫХОДЕ";"TT567";"°C";"-50";"0";"0";"0";"0";"0";"0";"0";"0";"50";"60";"0";"0";"150";"0";"3,7";"20,3";15476;11;"1";"1";"1";"0";"1";11336;0;"PNA036_2.TT567";"ПНА №036.2";"Базовый тип с наименованием по умолчанию"
70;"ПНА №036.2 ТЕМПЕРАТУРА ОПОРНО-УПОРНОГО ПОДШИПНИКА НАСОСА (ТОЧКА 1)";"TT568_1";"°C";"-50";"0";"0";"0";"0";"0";"0";"0";"0";"65";"75";"0";"0";"150";"0";"3,7";"20,3";15508;11;"1";"1";"1";"0";"1";11340;0;"PNA036_2.TT568_1";"ПНА №036.2";"Базовый тип с наименованием по умолчанию"
71;"ПНА №036.2 ТЕМПЕРАТУРА ОПОРНО-УПОРНОГО ПОДШИПНИКА НАСОСА (ТОЧКА 2)";"TT568_2";"°C";"-50";"0";"0";"0";"0";"0";"0";"0";"0";"65";"75";"0";"0";"150";"0";"3,7";"20,3";15540;11;"1";"1";"1";"0";"1";11344;0;"PNA036_2.TT568_2";"ПНА №036.2";"Базовый тип с наименованием по умолчанию"
72;"ПНА №036.2 ЧАСТОТА ВРАЩЕНИЯ ВАЛА ЭД";"ST561_1";"об/мин";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3000";"0";"-30";"3000";15572;11;"1";"1";"1";"0";"1";11348;0;"PNA036_2.ST561_1";"ПНА №036.2";"Частота вращения вала ЭД НА"
73;"ПНА №036.2 ВИБРАЦИЯ ОПОРНО-УПОРНОГО ПОДШИПНИКА НАСОСА (ГОРИЗОНТАЛЬНОЕ НАПРАВЛЕНИЕ)";"XT565";"мм/с";"0";"0";"0";"6";"8,9";"0";"7,1";"11,2";"0";"18";"0";"0";"0";"30";"0";"3,7";"20,3";15604;11;"1";"1";"1";"0";"1";11352;0;"PNA036_2.XT565";"ПНА №036.2";"Вибрации насоса/двигателя"
74;"ПНА №036.2 ВИБРАЦИЯ ОПОРНО-УПОРНОГО ПОДШИПНИКА НАСОСА (ПОПЕРЕЧНОЕ НАПРАВЛЕНИЕ)";"XT566";"мм/с";"0";"0";"0";"6";"8,9";"0";"7,1";"11,2";"0";"18";"0";"0";"0";"30";"0";"3,7";"20,3";15636;11;"1";"1";"1";"0";"1";11356;0;"PNA036_2.XT566";"ПНА №036.2";"Вибрации насоса/двигателя"
75;"ПНА №036.2 АВАРИЙНЫЕ УТЕЧКИ НЕФТИ ЧЕРЕЗ ТОРЦЕВОЕ УПЛОТНЕНИЕ НАСОСА";"LC5614";"мА";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"14";"0";"0";"20";"0";"3,7";"20,3";15668;11;"1";"1";"1";"0";"2";11360;0;"PNA036_2.LC5614";"ПНА №036.2";"Дискретные параметры с контролем целостности"
76;"ПНА №036.2 ДАВЛЕНИЕ НЕФТИ НА ВХОДЕ";"PT561";"МПа";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"3,7";"20,3";15700;11;"1";"1";"1";"0";"1";11364;0;"PNA036_2.PT561";"ПНА №036.2";"Базовый тип с наименованием по умолчанию"
77;"ПНА №036.2 ДАВЛЕНИЕ НЕФТИ НА ВЫХОДЕ";"PT562";"МПа";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"3,7";"20,3";15732;11;"1";"1";"1";"0";"1";11368;0;"PNA036_2.PT562";"ПНА №036.2";"Базовый тип с наименованием по умолчанию"
78;"ПНА №036.2 ПЕРЕПАД ДАВЛЕНИЯ НЕФТИ НА ФИЛЬТР-РЕШЕТКЕ";"PT563";"МПа";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,4";"0";"3,7";"20,3";15764;11;"1";"1";"1";"0";"1";11372;0;"PNA036_2.PT563";"ПНА №036.2";"Перепад давления"
79;"ПНА №036.2 СИЛА ТОКА";"CT561";"А";"0";"0";"0";"0";"0";"21,7";"0";"0";"0";"0";"0";"0";"0";"300";"0";"3,7";"20,3";15796;11;"1";"1";"1";"0";"1";11376;0;"PNA036_2.CT561";"ПНА №036.2";"Сила тока МНА"
80;"ПНА №036.2 ВЫХОДНАЯ ЧАСТОТА";"ST561_2";"об/мин";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3000";"0";"-30";"3000";15828;11;"1";"1";"1";"0";"1";11380;0;"PNA036_2.ST561_2";"ПНА №036.2";"Частота вращения вала ЭД НА"
81;"ПНА №036.4 ТЕМПЕРАТУРА НИЖНЕГО ПОДШИПНИКА ЭД";"TT583";"°C";"-50";"0";"0";"0";"0";"0";"0";"0";"0";"65";"75";"0";"0";"150";"0";"3,7";"20,3";15860;12;"1";"1";"1";"0";"1";11384;0;"PNA036_4.TT583";"ПНА №036.4";"Базовый тип с наименованием по умолчанию"
82;"ПНА №036.4 ТЕМПЕРАТУРА ВЕРХНЕГО ПОДШИПНИКА ЭД (ТОЧКА 1)";"TT584_1";"°C";"-50";"0";"0";"0";"0";"0";"0";"0";"0";"65";"75";"0";"0";"150";"0";"3,7";"20,3";15892;12;"1";"1";"1";"0";"1";11388;0;"PNA036_4.TT584_1";"ПНА №036.4";"Базовый тип с наименованием по умолчанию"
83;"ПНА №036.4 ТЕМПЕРАТУРА ВЕРХНЕГО ПОДШИПНИКА ЭД (ТОЧКА 2)";"TT584_2";"°C";"-50";"0";"0";"0";"0";"0";"0";"0";"0";"65";"75";"0";"0";"150";"0";"3,7";"20,3";15924;12;"1";"1";"1";"0";"1";11392;0;"PNA036_4.TT584_2";"ПНА №036.4";"Базовый тип с наименованием по умолчанию"
84;"ПНА №036.4 ТЕМПЕРАТУРА НЕФТИ НА ВЫХОДЕ";"TT587";"°C";"-50";"0";"0";"0";"0";"0";"0";"0";"0";"50";"60";"0";"0";"150";"0";"3,7";"20,3";15956;12;"1";"1";"1";"0";"1";11396;0;"PNA036_4.TT587";"ПНА №036.4";"Базовый тип с наименованием по умолчанию"
85;"ПНА №036.4 ТЕМПЕРАТУРА ОПОРНО-УПОРНОГО ПОДШИПНИКА НАСОСА (ТОЧКА 1)";"TT588_1";"°C";"-50";"0";"0";"0";"0";"0";"0";"0";"0";"65";"75";"0";"0";"150";"0";"3,7";"20,3";15988;12;"1";"1";"1";"0";"1";11400;0;"PNA036_4.TT588_1";"ПНА №036.4";"Базовый тип с наименованием по умолчанию"
86;"ПНА №036.4 ТЕМПЕРАТУРА ОПОРНО-УПОРНОГО ПОДШИПНИКА НАСОСА (ТОЧКА 2)";"TT588_2";"°C";"-50";"0";"0";"0";"0";"0";"0";"0";"0";"65";"75";"0";"0";"150";"0";"3,7";"20,3";16020;12;"1";"1";"1";"0";"1";11404;0;"PNA036_4.TT588_2";"ПНА №036.4";"Базовый тип с наименованием по умолчанию"
87;"ПНА №036.4 ЧАСТОТА ВРАЩЕНИЯ ВАЛА ЭД";"ST581_1";"об/мин";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3000";"0";"-30";"3000";16052;12;"1";"1";"1";"0";"1";11408;0;"PNA036_4.ST581_1";"ПНА №036.4";"Частота вращения вала ЭД НА"
88;"ПНА №036.4 ВИБРАЦИЯ ОПОРНО-УПОРНОГО ПОДШИПНИКА НАСОСА (ГОРИЗОНТАЛЬНОЕ НАПРАВЛЕНИЕ)";"XT585";"мм/с";"0";"0";"0";"6";"8,9";"0";"7,1";"11,2";"0";"18";"0";"0";"0";"30";"0";"3,7";"20,3";16084;12;"1";"1";"1";"0";"1";11412;0;"PNA036_4.XT585";"ПНА №036.4";"Вибрации насоса/двигателя"
89;"ПНА №036.4 ВИБРАЦИЯ ОПОРНО-УПОРНОГО ПОДШИПНИКА НАСОСА (ПОПЕРЕЧНОЕ НАПРАВЛЕНИЕ)";"XT586";"мм/с";"0";"0";"0";"6";"8,9";"0";"7,1";"11,2";"0";"18";"0";"0";"0";"30";"0";"3,7";"20,3";16116;12;"1";"1";"1";"0";"1";11416;0;"PNA036_4.XT586";"ПНА №036.4";"Вибрации насоса/двигателя"
90;"ПНА №036.4 АВАРИЙНЫЕ УТЕЧКИ НЕФТИ ЧЕРЕЗ ТОРЦЕВОЕ УПЛОТНЕНИЕ НАСОСА";"LC5814";"мА";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"14";"0";"0";"20";"0";"3,7";"20,3";16148;12;"1";"1";"1";"0";"2";11420;0;"PNA036_4.LC5814";"ПНА №036.4";"Дискретные параметры с контролем целостности"
91;"ПНА №036.4 ДАВЛЕНИЕ НЕФТИ НА ВХОДЕ";"PT581";"МПа";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"3,7";"20,3";16180;12;"1";"1";"1";"0";"1";11424;0;"PNA036_4.PT581";"ПНА №036.4";"Базовый тип с наименованием по умолчанию"
92;"ПНА №036.4 ДАВЛЕНИЕ НЕФТИ НА ВЫХОДЕ";"PT582";"МПа";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"3,7";"20,3";16212;12;"1";"1";"1";"0";"1";11428;0;"PNA036_4.PT582";"ПНА №036.4";"Базовый тип с наименованием по умолчанию"
93;"ПНА №036.4 ПЕРЕПАД ДАВЛЕНИЯ НЕФТИ НА ФИЛЬТР-РЕШЕТКЕ";"PT583";"МПа";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0,4";"0";"3,7";"20,3";16244;12;"1";"1";"1";"0";"1";11432;0;"PNA036_4.PT583";"ПНА №036.4";"Перепад давления"
94;"ПНА №036.4 СИЛА ТОКА";"CT581";"А";"0";"0";"0";"0";"0";"21,7";"0";"0";"0";"0";"0";"0";"0";"300";"0";"3,7";"20,3";16276;12;"1";"1";"1";"0";"1";11436;0;"PNA036_4.CT581";"ПНА №036.4";"Сила тока МНА"
95;"ПНА №036.4 ВЫХОДНАЯ ЧАСТОТА";"ST581_2";"об/мин";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3000";"0";"-30";"3000";16308;12;"1";"1";"1";"0";"1";11440;0;"PNA036_4.ST581_2";"ПНА №036.4";"Частота вращения вала ЭД НА"
