ID;ParamName;ParamID;Unit;ScaleBeginning;Ust0;Ust1;Ust2;Ust3;Ust4;Ust5;Ust6;Ust7;Ust8;Ust9;Ust10;Ust11;ScaleEnd;Hist;VeracityBottom;VeracityTop;AdressBeginning;Place;CtrlUst;OpMask;SignMask;KF;NDiap;AdressBeginningKF;PLC;OPCPath;PlaceName;TypeName
17;"ДАВЛЕНИЕ НЕФТИ ДО УЗЛА РЕГУЛИРОВАНИЯ №008.2";"PT673";"МПа";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"3,7";"20,3";13812;4;"1";"1";"1";"0";"1";11128;0;"SAR 2.PT673";"САР 2";"Базовый тип с наименованием по умолчанию"
18;"ДАВЛЕНИЕ НЕФТИ ПОСЛЕ УЗЛА РЕГУЛИРОВАНИЯ №008.2";"PT674";"МПа";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"3,7";"20,3";13844;4;"1";"1";"1";"0";"1";11132;0;"SAR 2.PT674";"САР 2";"Базовый тип с наименованием по умолчанию"
19;"ДАВЛЕНИЕ ДО РЕГУЛЯТОРА ДАВЛЕНИЯ №036.5";"PT675";"МПа";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"3,7";"20,3";13876;5;"1";"1";"1";"0";"1";11136;0;"SARD.PT675";"САРД";"Базовый тип с наименованием по умолчанию"
20;"ДАВЛЕНИЕ ПОСЛЕ РЕГУЛЯТОРА ДАВЛЕНИЯ №036.5";"PT676";"МПа";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"3,7";"20,3";13908;5;"1";"1";"1";"0";"1";11140;0;"SARD.PT676";"САРД";"Базовый тип с наименованием по умолчанию"
21;"ТЕМПЕРАТУРА ВОЗДУХА В ШКАФУ ПРИБОРНОМ №008.3";"TT671";"°C";"-20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"80";"0";"3,7";"20,3";13940;3;"1";"1";"1";"0";"1";11144;0;"SAR1.TT671";"САР 1";"Базовый тип с наименованием по умолчанию"
22;"ТЕМПЕРАТУРА ВОЗДУХА В ШКАФУ ПРИБОРНОМ №008.4";"TT672";"°C";"-20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"80";"0";"3,7";"20,3";13972;4;"1";"1";"1";"0";"1";11148;0;"SAR2.TT672";"САР 2";"Базовый тип с наименованием по умолчанию"
23;"АВАРИЙНЫЙ МАКСИМАЛЬНЫЙ УРОВЕНЬ В ЕМКОСТИ 024.1";"LC6514";"мА";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"14";"0";"0";"20";"0";"3,7";"20,3";14004;2;"1";"1";"1";"0";"2";11152;0;"SOU.LC6514";"СОУ";"Дискретные параметры с контролем целостности"
24;"АВАРИЙНЫЙ МАКСИМАЛЬНЫЙ УРОВЕНЬ В ЕМКОСТИ 024.2";"LC6524";"мА";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"14";"0";"0";"20";"0";"3,7";"20,3";14036;2;"1";"1";"1";"0";"2";11156;0;"SOU.LC6524";"СОУ";"Дискретные параметры с контролем целостности"
25;"ПОЛОЖЕНИЕ РЕГУЛИРУЮЩЕГО ОРГАНА РЕГУЛЯТОРА №036.5";"QT675";"%";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"100";"0";"-1";"100";14068;5;"1";"1";"1";"0";"1";11160;0;"SARD.QT675";"САРД";"Базовый тип с наименованием по умолчанию"
26;"ПОЖАР В НАСОСНОМ ЗАЛЕ ОСНОВНОЙ НАСОСНОЙ МН «КУЙБЫШЕВ – УНЕЧА – МОЛЗЫРЬ-1» (ПРИЕМ ИЗ МПСА ПТ)";"DC706a";"мА";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"14";"0";"0";"20";"0";"3,7";"20,3";14100;1;"1";"1";"1";"0";"2";11164;0;"Fires.DC706a";"ССН";"Дискретные параметры с контролем целостности"
