Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"MNS-2-KC-A7.Process.6.Name","420397.16H","String","","RO","1000","","","","","","","","","","server_historian",""
"MNS-2-KC-A7.Process.6.Cpu","401333","Short","","RO","1000","","","","","","","","","","загрузка цпу по процессу",""
"MNS-2-KC-A7.Process.6.Avar","401337","Long","","RO","1000","","","","","","","","","","Авария",""
"MNS-2-KC-A7.Process.7.InstanceCount","401341","Short","","RO","1000","","","","","","","","","","количество запущенных экземпляров",""
"MNS-2-KC-A7.Process.7.StartTime","420433.20H","String","","RO","1000","","","","","","","","","","время запуска первого экземпляра",""
"MNS-2-KC-A7.Process.7.Ram","401345","Long","","RO","1000","","","","","","","","","","количество использованной процессом памяти",""
"MNS-2-KC-A7.Process.7.Name","420469.4H","String","","RO","1000","","","","","","","","","","avp",""
"MNS-2-KC-A7.Process.7.Cpu","401349","Short","","RO","1000","","","","","","","","","","загрузка цпу по процессу",""
"MNS-2-KC-A7.Process.7.Avar","401353","Long","","RO","1000","","","","","","","","","","Авария",""
"MNS-2-KC-A7.Process.8.InstanceCount","401357","Short","","RO","1000","","","","","","","","","","количество запущенных экземпляров",""
"MNS-2-KC-A7.Process.8.StartTime","420505.20H","String","","RO","1000","","","","","","","","","","время запуска первого экземпляра",""
"MNS-2-KC-A7.Process.8.Ram","401361","Long","","RO","1000","","","","","","","","","","количество использованной процессом памяти",""
"MNS-2-KC-A7.Process.8.Name","420541.4H","String","","RO","1000","","","","","","","","","","ntpd",""
"MNS-2-KC-A7.Process.8.Cpu","401365","Short","","RO","1000","","","","","","","","","","загрузка цпу по процессу",""
"MNS-2-KC-A7.Process.8.Avar","401369","Long","","RO","1000","","","","","","","","","","Авария",""
"MNS-2-KC-A7.Process.9.InstanceCount","401373","Short","","RO","1000","","","","","","","","","","количество запущенных экземпляров",""
"MNS-2-KC-A7.Process.9.StartTime","420577.20H","String","","RO","1000","","","","","","","","","","время запуска первого экземпляра",""
"MNS-2-KC-A7.Process.9.Ram","401377","Long","","RO","1000","","","","","","","","","","количество использованной процессом памяти",""
"MNS-2-KC-A7.Process.9.Name","420613.6H","String","","RO","1000","","","","","","","","","","mgsnmp",""
"MNS-2-KC-A7.Process.9.Cpu","401381","Short","","RO","1000","","","","","","","","","","загрузка цпу по процессу",""
"MNS-2-KC-A7.Process.9.Avar","401385","Long","","RO","1000","","","","","","","","","","Авария",""
"MNS-2-KC-A7.Process.10.InstanceCount","401389","Short","","RO","1000","","","","","","","","","","количество запущенных экземпляров",""
"MNS-2-KC-A7.Process.10.StartTime","420649.20H","String","","RO","1000","","","","","","","","","","время запуска первого экземпляра",""
"MNS-2-KC-A7.Process.10.Ram","401393","Long","","RO","1000","","","","","","","","","","количество использованной процессом памяти",""
"MNS-2-KC-A7.Process.10.Name","420685.8H","String","","RO","1000","","","","","","","","","","sqlservr",""
"MNS-2-KC-A7.Process.10.Cpu","401397","Short","","RO","1000","","","","","","","","","","загрузка цпу по процессу",""
"MNS-2-KC-A7.Process.10.Avar","401401","Long","","RO","1000","","","","","","","","","","Авария",""
"MNS-2-KC-A7.Process.11.InstanceCount","401405","Short","","RO","1000","","","","","","","","","","количество запущенных экземпляров",""
"MNS-2-KC-A7.Process.11.StartTime","420721.20H","String","","RO","1000","","","","","","","","","","время запуска первого экземпляра",""
"MNS-2-KC-A7.Process.11.Ram","401409","Long","","RO","1000","","","","","","","","","","количество использованной процессом памяти",""
"MNS-2-KC-A7.Process.11.Name","420757.12H","String","","RO","1000","","","","","","","","","","processdiag",""
"MNS-2-KC-A7.Process.11.Cpu","401413","Short","","RO","1000","","","","","","","","","","загрузка цпу по процессу",""
"MNS-2-KC-A7.Process.11.Avar","401417","Long","","RO","1000","","","","","","","","","","Авария",""
"MNS-2-KC-A7.Status.Avar","401729.0","Boolean","","R/W","1000","","","","","","","","","","Авария",""
"MNS-2-KC-A7.Status.Errors","401737","Short","","R/W","1000","","","","","","","","","","Количество ошибок",""
"SAR-KC-A8.ObjName","400001","Long","","R/W","99999990","","","","","","","","","","МНС-2.Шкаф САР. Коммутатор ВУ (осн.) А8",""
"SAR-KC-A8.Status","403477","DWord","","R/W","1000","","","","","","","","","","Доступность устройства",""
"SAR-KC-A8.Ports.ifAdminStatus-01","402945","Long","","R/W","1000","","","","","","","","","","МНС-2.САР. КЦ основной А1.6/1",""
"SAR-KC-A8.Ports.ifAdminStatus-02","402949","Long","","R/W","1000","","","","","","","","","","МНС-2.КЦ. Коммутатор ВУ (осн.) А8/4",""
"SAR-KC-A8.Ports.ifAdminStatus-03","402953","Long","","R/W","1000","","","","","","","","","","МНС-2.САР. КЦ резервный А2.6/1",""
"SAR-KC-A8.Ports.ifAdminStatus-04","402957","Long","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A8.Ports.ifAdminStatus-05","402961","Long","","R/W","1000","","","","","","","","","","МНС-2.САР. Панель оператора А12/1",""
